,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
284,bm25,50.0,1.0,8,0.01,30,0.49834411026774134,0.38405168936176415
285,bm25,50.0,1.0,8,0.02,10,0.498556736963503,0.38623740518844835
286,bm25,50.0,1.0,8,0.02,15,0.49986676955713333,0.3856647974491417
287,bm25,50.0,1.0,8,0.02,30,0.49834361384741854,0.3837949208133157
288,bm25,50.0,1.0,9,0.005,10,0.5044271943656655,0.39003516485750406
289,bm25,50.0,1.0,9,0.005,15,0.5066675426380554,0.39088054522201404
290,bm25,50.0,1.0,9,0.005,30,0.5065419024048988,0.39135929042644013
291,bm25,50.0,1.0,9,0.01,10,0.5026535422134445,0.3886337749898222
292,bm25,50.0,1.0,9,0.01,15,0.5056055792969065,0.39037502501740334
293,bm25,50.0,1.0,9,0.01,30,0.5044323974577795,0.3902683093194884
294,bm25,50.0,1.0,9,0.02,10,0.5039425054016088,0.390954739943496
295,bm25,50.0,1.0,9,0.02,15,0.5050126064667094,0.3900129278528043
296,bm25,50.0,1.0,9,0.02,30,0.5046586042769674,0.39006216927075915
297,bm25,50.0,1.0,10,0.005,10,0.5085294810806812,0.39371492811124154
298,bm25,50.0,1.0,10,0.005,15,0.5099370892210815,0.39434785240171255
299,bm25,50.0,1.0,10,0.005,30,0.5098289539897041,0.3958354029149492
300,bm25,50.0,1.0,10,0.01,10,0.5092350371947819,0.394073534919871
301,bm25,50.0,1.0,10,0.01,15,0.5098194450288199,0.3941645446152987
302,bm25,50.0,1.0,10,0.01,30,0.510893024680158,0.39569511179557837
303,bm25,50.0,1.0,10,0.02,10,0.5126517888795992,0.396521957746902
304,bm25,50.0,1.0,10,0.02,15,0.5110093289187044,0.39512863545554905
305,bm25,50.0,1.0,10,0.02,30,0.512894870005348,0.39762208643960256
306,bm25,50.0,1.0,15,0.005,10,0.518531676287346,0.4027020378498249
307,bm25,50.0,1.0,15,0.005,15,0.5159625631701086,0.40069211898176355
308,bm25,50.0,1.0,15,0.005,30,0.516554134560652,0.40209410669302
309,bm25,50.0,1.0,15,0.01,10,0.5166433634506218,0.4018479052503808
310,bm25,50.0,1.0,15,0.01,15,0.515842298710676,0.4019729287553305
311,bm25,50.0,1.0,15,0.01,30,0.5165462151687271,0.401804331279792
312,bm25,50.0,1.0,15,0.02,10,0.5175824259376491,0.4018465632288054
313,bm25,50.0,1.0,15,0.02,15,0.5171271228098211,0.4015851678868329
314,bm25,50.0,1.0,15,0.02,30,0.5157215646774644,0.40231738511495585
315,bm25,100.0,0.75,3,0.005,10,0.426911872561152,0.3138915207879073
316,bm25,100.0,0.75,3,0.005,15,0.42655628604228796,0.3148540703168937
317,bm25,100.0,0.75,3,0.005,30,0.42691609973597,0.31565896046142283
318,bm25,100.0,0.75,3,0.01,10,0.4270303559734742,0.31399359074495126
319,bm25,100.0,0.75,3,0.01,15,0.42655628604228796,0.3148327369835603
320,bm25,100.0,0.75,3,0.01,30,0.42691609973597,0.31565896046142283
321,bm25,100.0,0.75,3,0.02,10,0.4271482791805373,0.3139826388732935
322,bm25,100.0,0.75,3,0.02,15,0.4264390527480324,0.31483221239339637
323,bm25,100.0,0.75,3,0.02,30,0.42691609973597,0.31565896046142283
324,bm25,100.0,0.75,6,0.005,10,0.4789298519202231,0.3648703577393236
325,bm25,100.0,0.75,6,0.005,15,0.4794004580508461,0.3647193232298361
326,bm25,100.0,0.75,6,0.005,30,0.4790427271209426,0.3644653283035182
327,bm25,100.0,0.75,6,0.01,10,0.47881192871316003,0.36478660303379834
328,bm25,100.0,0.75,6,0.01,15,0.4794004580508461,0.3647246565631693
329,bm25,100.0,0.75,6,0.01,30,0.4791612105332649,0.36450810905218123
330,bm25,100.0,0.75,6,0.02,10,0.47869372540346744,0.3648045119591171
331,bm25,100.0,0.75,6,0.02,15,0.4795186613605387,0.3647062813354826
332,bm25,100.0,0.75,6,0.02,30,0.4791612105332649,0.3644707329380993
333,bm25,100.0,0.75,7,0.005,10,0.4870086751124162,0.37252963207099865
334,bm25,100.0,0.75,7,0.005,15,0.4853612664960143,0.371413082722939
335,bm25,100.0,0.75,7,0.005,30,0.48889759849864173,0.373699913475046
336,bm25,100.0,0.75,7,0.01,10,0.4867732385084679,0.37231246295353293
337,bm25,100.0,0.75,7,0.01,15,0.4852430631863216,0.37147195721520976
338,bm25,100.0,0.75,7,0.01,30,0.48889759849864173,0.373699913475046
339,bm25,100.0,0.75,7,0.02,10,0.4870106789282268,0.3725245129850241
340,bm25,100.0,0.75,7,0.02,15,0.48559601318715506,0.3716233958635782
341,bm25,100.0,0.75,7,0.02,30,0.48889759849864173,0.373636161198179
342,bm25,100.0,0.75,8,0.005,10,0.49902376461837183,0.38609098041367595
343,bm25,100.0,0.75,8,0.005,15,0.498678366085519,0.38558575162766584
344,bm25,100.0,0.75,8,0.005,30,0.49691711991513776,0.3846496148103313
345,bm25,100.0,0.75,8,0.01,10,0.49878687137851613,0.38613742774589965
346,bm25,100.0,0.75,8,0.01,15,0.49903200599916,0.385760687875389
347,bm25,100.0,0.75,8,0.01,30,0.49691711991513776,0.3846496148103313
348,bm25,100.0,0.75,8,0.02,10,0.49866790457122717,0.3860253142707224
349,bm25,100.0,0.75,8,0.02,15,0.4989138026894673,0.3856462969130977
350,bm25,100.0,0.75,8,0.02,30,0.49691711991513776,0.3846496148103313
351,bm25,100.0,0.75,9,0.005,10,0.49996164747729177,0.3861725826696764
352,bm25,100.0,0.75,9,0.005,15,0.5003178742372109,0.386536813287888
353,bm25,100.0,0.75,9,0.005,30,0.5000827684954727,0.38631134225828573
354,bm25,100.0,0.75,9,0.01,10,0.49960946097405456,0.386080060635973
355,bm25,100.0,0.75,9,0.01,15,0.5000824376332627,0.3865030269383755
356,bm25,100.0,0.75,9,0.01,30,0.4999655352012171,0.38639855537303985
357,bm25,100.0,0.75,9,0.02,10,0.49948771382800256,0.3864568050205645
358,bm25,100.0,0.75,9,0.02,15,0.5001987009120811,0.38646287895077475
359,bm25,100.0,0.75,9,0.02,30,0.5002019418206024,0.3865958887063731
360,bm25,100.0,0.75,10,0.005,10,0.5029990958320678,0.389944743198137
361,bm25,100.0,0.75,10,0.005,15,0.5047743634732862,0.39015005855162116
362,bm25,100.0,0.75,10,0.005,30,0.5060879690488177,0.39009775059927165
363,bm25,100.0,0.75,10,0.01,10,0.5028835906876665,0.3898575477781293
364,bm25,100.0,0.75,10,0.01,15,0.5039482477574333,0.38968280074233086
365,bm25,100.0,0.75,10,0.01,30,0.5063245821860438,0.3901839563962043
366,bm25,100.0,0.75,10,0.02,10,0.5030028655319572,0.3893472110092629
367,bm25,100.0,0.75,10,0.02,15,0.5046547803379784,0.3899983262777481
368,bm25,100.0,0.75,10,0.02,30,0.5060883918843515,0.39019856691427823
369,bm25,100.0,0.75,15,0.005,10,0.5070109388614,0.3916075412758938
370,bm25,100.0,0.75,15,0.005,15,0.5059566850075095,0.3915383936925628
371,bm25,100.0,0.75,15,0.005,30,0.5030205418735025,0.3909813503168771
